event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3175,M,2001,248.61647116324536,15078.103749120412,-2.6852579887615016,Shamrock
3175,M,2002,272.2400773195876,15078.103749120412,20.938348167580777,Shamrock
3175,M,2003,246.13164695575998,15078.103749120412,-5.170082196246889,Shamrock
3175,M,2004,247.5946393762183,15078.103749120412,-3.707089775788548,Shamrock
3175,M,2005,252.16276990553305,15078.103749120412,0.8610407535262008,Shamrock
3175,M,2006,250.5757589154141,15078.103749120412,-0.7259702365927599,Shamrock
3175,M,2007,251.29268426842685,15078.103749120412,-0.0090448835800089,Shamrock
3175,M,2009,253.17348773265653,15078.103749120412,1.8717585806496573,Shamrock
3175,M,2010,263.8103039832285,15078.103749120412,12.508574831221662,Shamrock
3175,M,2016,256.7449666666667,15078.103749120412,5.443237514659813,Shamrock
3175,M,2017,255.8431096196868,15078.103749120412,4.541380467679938,Shamrock
3175,M,2018,254.2194477552642,15078.103749120412,2.9177186032573443,Shamrock
3175,M,2019,253.51105717367855,15078.103749120412,2.2093280216716873,Shamrock
3202,F,1995,249.59119496855345,16002.226811086524,-17.11258521622194,Rocket City
3202,F,1996,251.73485663082437,16002.226811086524,-14.968923553951026,Rocket City
3202,F,1997,255.4804945054945,16002.226811086524,-11.223285679280888,Rocket City
3202,F,1998,254.94136752136754,16002.226811086524,-11.76241266340788,Rocket City
3202,F,2000,260.5968085106383,16002.226811086524,-6.106971674137094,Rocket City
3202,F,2001,276.4015842839037,16002.226811086524,9.69780409912828,Rocket City
3202,F,2002,261.0526070763501,16002.226811086524,-5.651173108425307,Rocket City
3202,F,2003,261.928738317757,16002.226811086524,-4.775041867018384,Rocket City
3202,F,2004,255.72971428571427,16002.226811086524,-10.974065899061134,Rocket City
3202,F,2005,262.2005401234568,16002.226811086524,-4.503240061318623,Rocket City
3202,F,2006,266.6125,16002.226811086524,-0.09128018477540537,Rocket City
3202,F,2007,276.3256807511737,16002.226811086524,9.62190056639832,Rocket City
3202,F,2008,265.0035190615836,16002.226811086524,-1.7002611231918308,Rocket City
3202,F,2009,267.1762021189894,16002.226811086524,0.47242193421401074,Rocket City
3202,F,2010,266.50249307479226,16002.226811086524,-0.20128710998315,Rocket City
3202,F,2011,268.15903880070545,16002.226811086524,1.4552586159300518,Rocket City
3202,F,2012,277.09213675213675,16002.226811086524,10.38835656736134,Rocket City
3202,F,2013,270.8185364281109,16002.226811086524,4.114756243335493,Rocket City
3202,F,2014,271.75485986881336,16002.226811086524,5.051079684037965,Rocket City
3202,F,2015,281.14726118904474,16002.226811086524,14.443481004269325,Rocket City
3202,F,2016,273.33019390581717,16002.226811086524,6.6264137210417475,Rocket City
3202,F,2017,271.4929369918699,16002.226811086524,4.789156807094514,Rocket City
3202,F,2018,277.2922654690619,16002.226811086524,10.588485284286465,Rocket City
3202,F,2019,278.5251937984496,16002.226811086524,11.821413613674213,Rocket City
3202,M,1995,225.05238379022646,14663.372184277136,-19.337152614392473,Rocket City
3202,M,1996,228.71851304775973,14663.372184277136,-15.671023356859193,Rocket City
3202,M,1997,232.71511627906975,14663.372184277136,-11.674420125549174,Rocket City
3202,M,1998,233.60103359173127,14663.372184277136,-10.78850281288766,Rocket City
