,year,gender,lat,lon,event,region,state,postal,freq,event_name
304,2008,F,30.267153,-97.7430608,127196,South,Texas,TX,1729,Austin
305,2008,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,393,Tucson
306,2008,M,30.267153,-97.7430608,127196,South,Texas,TX,2704,Austin
307,2008,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,599,Tucson
308,2009,F,30.267153,-97.7430608,127196,South,Texas,TX,1552,Austin
309,2009,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,515,Tucson
310,2009,M,30.267153,-97.7430608,127196,South,Texas,TX,2508,Austin
311,2009,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,722,Tucson
312,2010,F,30.267153,-97.7430608,127196,South,Texas,TX,1515,Austin
313,2010,F,32.2226066,-110.9747108,13551,West,Arizona,AZ,465,Tucson
314,2010,M,30.267153,-97.7430608,127196,South,Texas,TX,2404,Austin
315,2010,M,32.2226066,-110.9747108,13551,West,Arizona,AZ,594,Tucson
316,2011,F,30.267153,-97.7430608,127196,South,Texas,TX,1857,Austin
