prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9525.0, 9615.0)",69.31471805599453,34956,2006,M,2.658333333333333,48.38268687420632,20.93203118178821,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2007,M,2.658333333333333,48.38268687420632,20.93203118178821,Grandmas
"[9525.0, 9615.0)",69.31471805599453,34956,2010,M,2.658333333333333,48.38268687420632,20.93203118178821,Grandmas
"[9525.0, 9615.0)",-22.31435513142097,34956,2011,M,2.658333333333333,48.38268687420632,-70.6970420056273,Grandmas
"[9525.0, 9615.0)",-40.54651081081644,34956,2012,M,2.658333333333333,48.38268687420632,-88.92919768502276,Grandmas
"[9525.0, 9615.0)",84.72978603872036,34956,2013,M,2.658333333333333,48.38268687420632,36.34709916451404,Grandmas
"[9525.0, 9615.0)",55.961578793542266,34956,2014,M,2.658333333333333,48.38268687420632,7.578891919335945,Grandmas
"[9525.0, 9615.0)",98.08292530117262,34956,2015,M,2.658333333333333,48.38268687420632,49.7002384269663,Grandmas
"[9525.0, 9615.0)",-40.54651081081644,34956,2016,M,2.658333333333333,48.38268687420632,-88.92919768502276,Grandmas
"[9525.0, 9615.0)",18.232155679395458,34956,2017,M,2.658333333333333,48.38268687420632,-30.150531194810863,Grandmas
"[9525.0, 9615.0)",40.546510810816436,34956,2018,M,2.658333333333333,48.38268687420632,-7.836176063389885,Grandmas
"[9525.0, 9615.0)",35.66749439387324,34956,2019,M,2.658333333333333,48.38268687420632,-12.71519248033308,Grandmas
"[9525.0, 9615.0)",69.31471805599453,4476,1997,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,1998,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",-109.86122886681098,4476,2000,F,2.658333333333333,27.725887222397812,-137.5871160892088,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2005,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",-69.31471805599453,4476,2009,F,2.658333333333333,27.725887222397812,-97.04060527839235,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2013,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",109.86122886681098,4476,2015,F,2.658333333333333,27.725887222397812,82.13534164441316,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2016,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",-69.31471805599453,4476,2017,F,2.658333333333333,27.725887222397812,-97.04060527839235,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2018,F,2.658333333333333,27.725887222397812,41.58883083359672,Houston
"[9525.0, 9615.0)",-40.54651081081644,4476,1998,M,2.658333333333333,-4.951051289713901,-35.59545952110254,Houston
"[9525.0, 9615.0)",-69.31471805599453,4476,2001,M,2.658333333333333,-4.951051289713901,-64.36366676628063,Houston
"[9525.0, 9615.0)",-109.86122886681098,4476,2002,M,2.658333333333333,-4.951051289713901,-104.91017757709707,Houston
"[9525.0, 9615.0)",-109.86122886681098,4476,2003,M,2.658333333333333,-4.951051289713901,-104.91017757709707,Houston
"[9525.0, 9615.0)",40.546510810816436,4476,2005,M,2.658333333333333,-4.951051289713901,45.49756210053034,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2006,M,2.658333333333333,-4.951051289713901,74.26576934570843,Houston
"[9525.0, 9615.0)",-69.31471805599453,4476,2007,M,2.658333333333333,-4.951051289713901,-64.36366676628063,Houston
"[9525.0, 9615.0)",-69.31471805599453,4476,2009,M,2.658333333333333,-4.951051289713901,-64.36366676628063,Houston
"[9525.0, 9615.0)",40.546510810816436,4476,2010,M,2.658333333333333,-4.951051289713901,45.49756210053034,Houston
"[9525.0, 9615.0)",138.62943611198907,4476,2012,M,2.658333333333333,-4.951051289713901,143.58048740170295,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2013,M,2.658333333333333,-4.951051289713901,74.26576934570843,Houston
"[9525.0, 9615.0)",69.31471805599453,4476,2015,M,2.658333333333333,-4.951051289713901,74.26576934570843,Houston
"[9525.0, 9615.0)",-138.62943611198907,4476,2017,M,2.658333333333333,-4.951051289713901,-133.67838482227518,Houston
"[9525.0, 9615.0)",109.86122886681098,4476,2018,M,2.658333333333333,-4.951051289713901,114.81228015652488,Houston
"[9525.0, 9615.0)",109.86122886681098,96107,1996,F,2.658333333333333,25.231450069509155,84.62977879730182,Chicago
"[9525.0, 9615.0)",-69.31471805599453,96107,1997,F,2.658333333333333,25.231450069509155,-94.54616812550368,Chicago
"[9525.0, 9615.0)",40.546510810816436,96107,1998,F,2.658333333333333,25.231450069509155,15.315060741307281,Chicago
"[9525.0, 9615.0)",-69.31471805599453,96107,2000,F,2.658333333333333,25.231450069509155,-94.54616812550368,Chicago
"[9525.0, 9615.0)",69.31471805599453,96107,2002,F,2.658333333333333,25.231450069509155,44.08326798648538,Chicago
"[9525.0, 9615.0)",-69.31471805599453,96107,2005,F,2.658333333333333,25.231450069509155,-94.54616812550368,Chicago
"[9525.0, 9615.0)",40.546510810816436,96107,2006,F,2.658333333333333,25.231450069509155,15.315060741307281,Chicago
"[9525.0, 9615.0)",-69.31471805599453,96107,2008,F,2.658333333333333,25.231450069509155,-94.54616812550368,Chicago
"[9525.0, 9615.0)",109.86122886681098,96107,2010,F,2.658333333333333,25.231450069509155,84.62977879730182,Chicago
"[9525.0, 9615.0)",69.31471805599453,96107,2011,F,2.658333333333333,25.231450069509155,44.08326798648538,Chicago
"[9525.0, 9615.0)",40.546510810816436,96107,2017,F,2.658333333333333,25.231450069509155,15.315060741307281,Chicago
"[9525.0, 9615.0)",84.72978603872036,96107,2018,F,2.658333333333333,25.231450069509155,59.49833596921121,Chicago
"[9525.0, 9615.0)",40.546510810816436,96107,2019,F,2.658333333333333,25.231450069509155,15.315060741307281,Chicago
"[9525.0, 9615.0)",22.314355131420978,96107,1996,M,2.658333333333333,52.98538769073583,-30.67103255931485,Chicago
"[9525.0, 9615.0)",-15.415067982725835,96107,1997,M,2.658333333333333,52.98538769073583,-68.40045567346166,Chicago
"[9525.0, 9615.0)",47.000362924573565,96107,1998,M,2.658333333333333,52.98538769073583,-5.985024766162262,Chicago
"[9525.0, 9615.0)",51.08256237659907,96107,1999,M,2.658333333333333,52.98538769073583,-1.9028253141367557,Chicago
"[9525.0, 9615.0)",51.08256237659907,96107,2000,M,2.658333333333333,52.98538769073583,-1.9028253141367557,Chicago
"[9525.0, 9615.0)",22.314355131420978,96107,2002,M,2.658333333333333,52.98538769073583,-30.67103255931485,Chicago
"[9525.0, 9615.0)",31.84537311185346,96107,2003,M,2.658333333333333,52.98538769073583,-21.14001457888237,Chicago
"[9525.0, 9615.0)",167.39764335716717,96107,2005,M,2.658333333333333,52.98538769073583,114.41225566643135,Chicago
"[9525.0, 9615.0)",102.96194171811581,96107,2006,M,2.658333333333333,52.98538769073583,49.97655402737998,Chicago
"[9525.0, 9615.0)",81.09302162163287,96107,2008,M,2.658333333333333,52.98538769073583,28.107633930897045,Chicago
"[9525.0, 9615.0)",76.21400520468967,96107,2010,M,2.658333333333333,52.98538769073583,23.228617513953843,Chicago
"[9525.0, 9615.0)",-16.70540846631662,96107,2011,M,2.658333333333333,52.98538769073583,-69.69079615705245,Chicago
